,0,category,2cat
288,SET OF 3 HEART COOKIE CUTTERS,This product belongs in the category of Kitchenware or Baking Supplies.,"['Baking', 'Supplies']"
289,3 PIECE SPACEBOY COOKIE CUTTER SET,This product can be classified as Kitchenware or Baking Tools.,"['Baking', 'Tools']"
290,PACK OF 72 SKULL CAKE CASES,"This product can be classified under the category of ""Kitchen and Baking Supplies"" as it is a pack of cake cases used for baking and decorating cakes with a skull design.","['cakes', 'design']"
291,PACK OF 60 SPACEBOY CAKE CASES,This product can be classified under the category of Kitchen & Baking or Party Supplies.,"['Party', 'Supplies']"
292,72 SWEETHEART FAIRY CAKE CASES,This product falls under the category of Baking Supplies or Kitchen Accessories.,"['Kitchen', 'Accessories']"
293,LUNCH BAG SUKI  DESIGN ,"This product falls under the category of ""Storage & Organization"" or ""Lunch Accessories.""","['Organization', 'Accessories']"
294,LUNCH BAG CARS BLUE,This product can be classified as a 'Lunch Bag' under the category of 'Storage & Organization'.,"[""'Storage"", 'Organization']"
295,LUNCH BAG  BLACK SKULL.,This product can be classified under the category of 'Bags & Lunchboxes'.,"[""'Bags"", 'Lunchboxes']"
296,HEART IVORY TRELLIS LARGE,Decor,Decor
297,SET/5 RED RETROSPOT LID GLASS BOWLS,"This product falls under the category of ""Kitchenware"" or ""Serveware"".","['Kitchenware', 'Serveware']"
298,MAGIC DRAWING SLATE DINOSAUR,"This product falls under the ""Toys & Games"" category.",Games
299,MAGIC DRAWING SLATE BAKE A CAKE ,"This product falls under the category of ""Children's Toys"" or ""Arts & Crafts.""","['Arts', 'Crafts']"
300,12 PENCILS TALL TUBE SKULLS,This product would fall under the category of Stationery.,Stationery
301,RED  HARMONICA IN BOX ,"This product would likely fall under the category of ""Musical Instruments"".",Instruments
302,BLUE HARMONICA IN BOX ,This product falls into the category of Music Instruments.,Instruments
303,SKULLS  WATER TRANSFER TATTOOS ,This product would likely fall under the category of Personal Care or Fashion Accessories.,"['Fashion', 'Accessories']"
304,PACK 3 BOXES BIRD PANNETONE ,This product is most likely in the category of Food or Kitchenware.,"['Food', 'Kitchenware']"
305,SET OF 20 KIDS COOKIE CUTTERS,"This product belongs to the ""Kitchen & Dining"" category.",Dining
306,10 COLOUR SPACEBOY PEN,This product belongs to the Stationery category.,Stationery
307,VICTORIAN GLASS HANGING T-LIGHT,This product falls under the category of Lighting.,Lighting
308,SINGLE HEART ZINC T-LIGHT HOLDER,"This product belongs to the ""Decor"" category.",Decor
309,HANGING METAL STAR LANTERN,This product falls under the category of Lighting.,Lighting
310,SILVER HANGING T-LIGHT HOLDER,This product belongs to the category of Lighting.,Lighting
311,DOORMAT RED RETROSPOT,"This product belongs to the ""Decor"" category.",Decor
312,DOORMAT HEARTS,Decor,Decor
313,NATURAL SLATE RECTANGLE CHALKBOARD,This product falls under the category of Decor.,Decor
314,LOVEBIRD HANGING DECORATION WHITE ,"This product falls under the ""Decor"" category.",Decor
315,PENS ASSORTED FUNNY FACE,"This product belongs to the ""Stationery"" category.",Stationery
316,CARD CIRCUS PARADE,This product would be classified under the Stationery category.,Stationery
317,WRAP COWBOYS  ,"This product seems to be in the category of ""Apparel"" or ""Fashion Accessories.""","['Fashion', 'Accessories']"
318,AIRLINE BAG VINTAGE TOKYO 78,This product is likely to fall under the category of Travel Accessories or Luggage.,"['Accessories', 'Luggage']"
319,SET OF 72 RETROSPOT PAPER  DOILIES,This product falls under the category of Decor.,Decor
320,SLEEPING CAT ERASERS,This product falls under the Stationery category.,Stationery
321,CARD BIRTHDAY COWBOY,This product belongs to the category of Stationery.,Stationery
322,PACK 3 BOXES CHRISTMAS PANNETONE,This product can be classified as 'Food & Groceries'.,"[""'Food"", 'Groceries']"
323,ROTATING SILVER ANGELS T-LIGHT HLDR,This product falls under the category of **Decor.**,"['*', '*']"
324,RIBBON REEL MAKING SNOWMEN ,"This product falls under the category of ""Crafts"" or ""Holiday Decor.""","['Crafts', 'Decor']"
325,4 TRADITIONAL SPINNING TOPS,This product would fall under the category of Toys/Games.,Toys/Games
326,BAG 500g SWIRLY MARBLES,This product belongs to the Decor category.,Decor
327,5 STRAND GLASS NECKLACE CRYSTAL,"This product belongs to the ""Jewelry"" category.",Jewelry
328,SQUARECUSHION COVER PINK UNION FLAG,This product belongs to the category of Home Decor.,"['Home', 'Decor']"
329,SPACEBOY CHILDRENS EGG CUP,"This product falls under the category of ""Kitchenware"" or ""Tableware"".","['Kitchenware', 'Tableware']"
330,CHILDREN'S SPACEBOY MUG,This product would fall under the category of Drinkware.,Drinkware
331,FELTCRAFT CUSHION OWL,This product falls under the category of Home Decor.,"['Home', 'Decor']"
332,BLACK CANDELABRA T-LIGHT HOLDER,"This product falls under the category of Decor, specifically under candle holders or home decor.","['home', 'decor']"
333,TOY TIDY DOLLY GIRL DESIGN,"This product can be classified under the category of ""Children's Storage & Organization.""","['Storage', 'Organization']"
334,SET 12 LAVENDER  BOTANICAL T-LIGHTS,"This product falls under the category of Lighting, specifically T-light candles with a botanical lavender scent.","['lavender', 'scent']"
335,UNION JACK FLAG LUGGAGE TAG,This product can be classified as Travel Accessories.,"['Travel', 'Accessories']"
336,RED HEART LUGGAGE TAG,This product belongs to the category of Travel Accessories.,"['Travel', 'Accessories']"
337,RED GLASS TASSLE BAG CHARM,This product can be classified as an accessory in the category of Decor or Fashion Accessories.,"['Fashion', 'Accessories']"
338,CLEAR ACRYLIC FACETED BANGLE,This product falls under the category of Jewelry.,Jewelry
339,DOORMAT UNION JACK GUNS AND ROSES,"This product belongs to the ""Decor"" category.",Decor
340,VANILLA SCENT CANDLE JEWELLED BOX,"This product can be classified under the ""Home Decor"" category.",Decor
341,FULL ENGLISH BREAKFAST PLATE,This product falls into the category of 'Kitchenware' or 'Dining'.,'Kitchenware
342,MAGIC DRAWING SLATE CIRCUS PARADE  ,This product falls into the category of Stationery.,Stationery
343,CHRISTMAS HANGING HEART WITH BELL,This product falls under the category of Decor.,Decor
344,CAKE STAND VICTORIAN FILIGREE MED,"This product belongs to the ""Decor"" category.",Decor
345,PAISLEY PATTERN  STICKERS,Stationery.,Stationery
346,FLOWERS  STICKERS,Stationery,Stationery
347,BLACK LOVE BIRD CANDLE,This product falls under the category of Decor.,Decor
348,PARTY TIME PENCIL ERASERS,This product falls into the category of Stationery.,Stationery
349,PINK B'FLY C/COVER W BOBBLES,This product would fall under the category of Decor.,Decor
350,PINK UNION JACK  LUGGAGE TAG,This product can be classified as Travel Accessories or Luggage Accessories.,"['Accessories', 'Accessories']"
351,6 RIBBONS ELEGANT CHRISTMAS ,"This product falls under the ""Decor"" category.",Decor
352,AGED GLASS SILVER T-LIGHT HOLDER,Category: Lighting,Lighting
353,BOOM BOX SPEAKER GIRLS,The product 'BOOM BOX SPEAKER GIRLS' would typically fall under the category of Electronics or Audio Accessories.,"['Audio', 'Accessories']"
354,6 RIBBONS SHIMMERING PINKS ,"This product belongs to the ""Crafts & Stationery"" category.",Stationery
355,JUMBO BAG OWLS,"This product falls under the category of Decor, specifically under Home Decor or Ornamental Decor due to the inclusion of owl designs on the bag.","['designs', 'bag']"
356,OWL DOORSTOP,Decor,Decor
357,PAINTED METAL STAR WITH HOLLY BELLS,"This product would fall into the ""Decor"" category.",Decor
358,PAINTED METAL HEART WITH HOLLY BELL,Decor,Decor
359,ANGEL DECORATION STARS ON DRESS,This product falls under the category of Decor.,Decor
360,JUMBO BAG STRAWBERRY,"This product falls under the category of ""Food & Grocery"" or ""Kitchenware"".","['Grocery', 'Kitchenware']"
361,STRAWBERRY SHOPPER BAG,"This product would likely fall under the ""Accessories"" category.",Accessories
362,ROUND SNACK BOXES SET OF 4 FRUITS ,This product belongs to the category of 'Kitchenware' or 'Food Storage'.,"[""'Kitchenware"", 'Storage']"
363,ROUND SNACK BOXES SET OF 4 SKULLS,This product falls under the category of Decor.,Decor
364,DOLLY GIRL LUNCH BOX,"This product would fall under the category of ""Drinkware"" or ""Containers"" specifically.","['Drinkware', 'Containers']"
365,GREEN POLKADOT PLATE ,Decor,Decor
366,BLUE POLKADOT PLATE ,Decor,Decor
367,RED RETROSPOT PLATE ,This product can be classified under the category of Decor.,Decor
368,PINK  POLKADOT PLATE ,"This product belongs to the ""Decor"" category.",Decor
369,FELTCRAFT DOLL MOLLY,"This product would likely fall under the category of ""Handmade Crafts"" or ""Toys & Games.""","['Toys', 'Games']"
370,FELTCRAFT CHRISTMAS FAIRY,"This product would belong in the ""Holiday Decor"" category.",Decor
371,SET OF 3 NOTEBOOKS IN PARCEL,Stationery,Stationery
372,RED RETROSPOT TAPE,"This product would fall under the category of ""Stationery"" as it is a type of adhesive tape.","['type', 'tape']"
373,COSY SLIPPER SHOES SMALL  RED ,"This product falls under the category of ""Footwear"".",Footwear
374,6 RIBBONS RUSTIC CHARM,This product falls under the category of Stationery.,Stationery
375,12 DAISY PEGS IN WOOD BOX,This product belongs to the category of Decor.,Decor
376,5 HOOK HANGER RED MAGIC TOADSTOOL,Decor,Decor
377,CHRISTMAS CRAFT TREE TOP ANGEL,"This product can be classified under the category of Decor, more specifically, Christmas Decor.","['Christmas', 'Decor']"
378,CHRISTMAS CRAFT LITTLE FRIENDS,"This product would likely fall under the ""Crafts"" category.",Crafts
379,COSY SLIPPER SHOES SMALL GREEN,"This product belongs to the category of ""Footwear.""",Footwear
380,FELTCRAFT DOLL ROSIE,This product belongs to the category of Toys or Arts & Crafts.,"['Arts', 'Crafts']"
381,FELTCRAFT DOLL EMILY,"This product would likely fall under the category of ""Toys"" or ""Handmade/DIY Crafts"".","['Toys', 'Crafts']"
382,FELTCRAFT PRINCESS OLIVIA DOLL,"This product belongs to the ""Toys"" category.",Toys
383,REX CASH+CARRY JUMBO SHOPPER,"This product can be classified as a shopping bag or reusable tote bag under the category of ""Shopping Essentials"" or ""Bags & Totes"".","['Bags', 'Totes']"
384,FELTCRAFT CUSHION RABBIT,This product belongs to the Decor category.,Decor
385,FELTCRAFT CUSHION BUTTERFLY,This product can be classified under the Decor category.,Decor
386,TOTE BAG I LOVE LONDON,This product belongs to the 'Accessories' category.,'Accessories
387,FOLDING UMBRELLA PINKWHITE POLKADOT,"This product can be classified under the category of ""Accessories"" or more specifically, ""Umbrellas"".",Accessories
388,FOLDING UMBRELLA CREAM POLKADOT,"This product falls under the category of ""Accessories"" or ""Outdoor Essentials"".","['Accessories', 'Essentials']"
389,FOLDING UMBRELLA WHITE/RED POLKADOT,"This product belongs to the ""Accessories"" category.",Accessories
390,SET 10 LIGHTS NIGHT OWL,This product belongs to the Lighting category.,Lighting
391,FOLDING UMBRELLA RED/WHITE POLKADOT,"This product falls under the category of ""Accessories"" specifically ""Umbrellas"".","['Accessories', 'Umbrellas']"
392,S/4 VALENTINE DECOUPAGE HEART BOX,Decor,Decor
393,SOLDIERS EGG CUP ,This product would likely fall under the category of Kitchenware or Dining.,"['Kitchenware', 'Dining']"
394,RED RETROSPOT MINI CASES,This product falls under the category of Stationery.,Stationery
395,,"I'm sorry, but I am unable to classify the product based on the information provided. If you can provide more details or a description of the product, I would be happy to help categorize it for you.","['description', 'product']"
396,60 CAKE CASES VINTAGE CHRISTMAS,"This product would fall under the category of ""Decor"" as it is related to decorating cakes for the Christmas holiday.","['Christmas', 'holiday']"
397,RIBBON REEL CHRISTMAS SOCK BAUBLE,This product falls under the category of Christmas Decor.,"['Christmas', 'Decor']"
398,RIBBON REEL SNOWY VILLAGE,"This product would fall under the category of ""Decor"" as it appears to be a decorative ribbon reel featuring a snowy village design.","['village', 'design']"
399,SET OF 20 VINTAGE CHRISTMAS NAPKINS,"This product would be classified under the ""Decor"" category.",Decor
400,TURQUOISE CHRISTMAS TREE ,This product falls under the category of Decor.,Decor
401,RED STAR CARD HOLDER,This product falls under the category of Stationery.,Stationery
402,WICKER WREATH SMALL,"This product falls under the ""Decor"" category.",Decor
403,ADVENT CALENDAR GINGHAM SACK,This product falls into the category of Decor.,Decor
404,FELTCRAFT BUTTERFLY HEARTS,Decor,Decor
405,PARTY CONE CHRISTMAS DECORATION ,This product can be classified under the category of Decor.,Decor
406,WICKER STAR ,Decor,Decor
407,VINTAGE SNAP CARDS,This product belongs to the Stationery category.,Stationery
408,FELTCRAFT 6 FLOWER FRIENDS,This product falls under the category of **Crafts & DIY**.,"['*', '*']"
409,BIRD DECORATION RED RETROSPOT,This product falls under the category of Decor.,Decor
410,CHRISTMAS GINGHAM TREE,"This product falls under the category of Decor, specifically Christmas decorations.","['Christmas', 'decorations']"
411,CHRISTMAS GINGHAM STAR,Decor,Decor
412,CHRISTMAS GINGHAM HEART,This product can be classified under the category of Decor.,Decor
413,PACK OF 12 PINK POLKADOT TISSUES,"This product can be classified as ""Stationery.""","['product', 'Stationery']"
414,FELTCRAFT PRINCESS LOLA DOLL,This product falls under the category of Toys or Dolls.,"['Toys', 'Dolls']"
415,PACK OF 12 LONDON TISSUES ,"This product belongs to the category of ""Household Essentials.""","['Household', 'Essentials']"
416,PURPLE DRAWERKNOB ACRYLIC EDWARDIAN,"This product would be classified under ""Decor.""","['product', 'Decor']"
417,CHILDREN'S APRON DOLLY GIRL ,"This product can be categorized as ""Kitchen & Dining"", specifically under ""Cookware & Bakeware"" or ""Kitchen Linens"" because it is an apron designed for children.","['apron', 'children']"
418,CHILDRENS APRON SPACEBOY DESIGN,"This product falls under the category of Home & Kitchen, specifically in the Kitchen Accessories section.","['Accessories', 'section']"
419,CHRISTMAS LIGHTS 10 SANTAS ,"This product can be classified under the category of Lighting, specifically Christmas Lights.","['Christmas', 'Lights']"
420,PACK OF 60 MUSHROOM CAKE CASES,"This product falls under the category of ""Baking & Cooking"" or ""Kitchenware.""","['Cooking', 'Kitchenware']"
421,60 CAKE CASES DOLLY GIRL DESIGN,"This product would fall under the category of ""Baking Supplies"" or ""Party Supplies"".","['Party', 'Supplies']"
422,HAND WARMER BABUSHKA DESIGN,Wellness,Wellness
423,SET 12 RETRO WHITE CHALK STICKS,Stationery,Stationery
424,FELTCRAFT HAIRBAND RED AND BLUE,This product can be classified under the category of Fashion Accessories.,"['Fashion', 'Accessories']"
425,FELTCRAFT HAIRBAND PINK AND PURPLE,"This product belongs to the ""Accessories"" category, specifically under ""Fashion Accessories"".","['Fashion', 'Accessories']"
426,FELTCRAFT HAIRBANDS PINK AND WHITE ,This product fits into the category of Fashion or Accessories.,"['Fashion', 'Accessories']"
427,TV DINNER TRAY DOLLY GIRL,This product can be classified under the category of Home Goods or Kitchen Accessories.,"['Kitchen', 'Accessories']"
428,PLASTERS IN TIN SPACEBOY,"This product falls under the category of ""Health & Wellness"".","['Health', 'Wellness']"
429,PLASTERS IN TIN WOODLAND ANIMALS,This product belongs to the category of Wellness.,Wellness
430,MAGIC DRAWING SLATE SPACEBOY ,This product fits into the Stationery category.,Stationery
